"","X","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","quality.factor","quality.order","quality.num"
"1",1,7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6,"6","Good",1
"3",3,8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6,"6","Good",1
"5",5,7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6,"6","Good",1
"8",8,7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6,"6","Good",1
"9",9,6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6,"6","Good",1
"11",11,8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,5,"5","Bad",0
"15",15,8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7,5,"5","Bad",0
"16",16,6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,7,"7","Good",1
"18",18,6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8,"8","Good",1
"19",19,7.4,0.34,0.42,1.1,0.033,17,171,0.9917,3.12,0.53,11.3,6,"6","Good",1
"20",20,6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,5,"5","Bad",0
"22",22,6.4,0.31,0.38,2.9,0.038,19,102,0.9912,3.17,0.35,11,7,"7","Good",1
"23",23,6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,8,"8","Good",1
"25",25,6.6,0.27,0.41,1.3,0.052,16,142,0.9951,3.42,0.47,10,6,"6","Good",1
"27",27,6.9,0.24,0.35,1,0.052,35,146,0.993,3.45,0.44,10,6,"6","Good",1
"28",28,7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,6,"6","Good",1
"29",29,7.4,0.27,0.48,1.1,0.047,17,132,0.9914,3.19,0.49,11.6,6,"6","Good",1
